gene_id,cluster_id,gene_length,fragment,singleton,bad_algnt,gaps,dashes
4,181940,297,False,True,,,
9,114097,567,False,True,,,
14,236072,153,False,True,,,
17,252430,1494,True,True,,,
22,209813,219,False,True,,,
24,139202,2817,True,True,,,
28,155310,915,True,True,,,
31,38314,1149,False,True,,,
36,243453,894,True,True,,,
40,208122,1515,True,True,,,
51,189955,849,True,True,,,
53,73492,822,False,True,,,
56,9382,2355,False,True,,,
71,146948,1656,True,True,,,
80,129659,459,False,True,,,
114,194336,246,False,True,,,
123,207252,795,True,True,,,
160,159079,624,True,True,,,
165,46224,1158,True,True,,,
185,97318,597,False,True,,,
194,215243,423,True,True,,,
210,59545,804,False,True,,,
220,69265,786,False,True,,,
228,27596,1347,False,True,,,
232,151732,1842,True,True,,,
237,65722,2343,True,True,,,
241,161844,1983,True,True,,,
266,219999,459,True,True,,,
297,36001,4251,True,True,,,
298,239030,891,True,True,,,
304,77906,720,False,True,,,
306,87467,696,False,True,,,
308,9046,2463,False,True,,,
318,53943,933,False,True,,,
323,50355,1419,True,True,,,
335,36982,1260,False,True,,,
345,70864,774,False,True,,,
368,139586,459,False,True,,,
373,183844,279,False,True,,,
391,58700,885,False,True,,,
393,194015,450,True,True,,,
393,235402,450,True,True,,,
408,63712,891,False,True,,,
429,42656,1773,True,True,,,
441,225854,219,True,True,,,
453,158032,606,True,True,,,
460,39145,1221,False,True,,,
464,201514,480,True,True,,,
468,47967,2505,True,True,,,
470,152062,1293,True,True,,,
473,148238,459,True,True,,,
474,214621,918,True,True,,,
497,214648,1260,True,True,,,
515,84664,954,True,True,,,
525,30201,1383,False,True,,,
556,61425,903,False,True,,,
564,168880,879,True,True,,,
569,241978,1059,True,True,,,
574,250066,210,True,True,,,
582,192677,1089,True,True,,,
596,145275,741,True,True,,,
621,79598,759,False,True,,,
624,230807,1236,True,True,,,
630,171166,447,True,True,,,
654,230778,1284,True,True,,,
661,37186,1167,False,True,,,
662,79682,870,True,True,,,
674,113390,522,False,True,,,
744,233328,660,True,True,,,
748,65462,888,False,True,,,
752,126741,468,False,True,,,
757,34588,2433,True,True,,,
790,39282,1134,False,True,,,
813,46739,1116,False,True,,,
816,158407,321,False,True,,,
820,28813,1308,False,True,,,
854,37842,1233,False,True,,,
870,188594,2613,True,True,,,
871,221560,768,True,True,,,
871,221953,768,True,True,,,
874,109890,960,True,True,,,
876,60700,1011,True,True,,,
880,13920,1908,False,True,,,
907,212216,588,True,True,,,
910,28893,1545,True,True,,,
922,231030,168,False,True,,,
922,234388,168,False,True,,,
924,67040,804,False,True,,,
974,124491,1029,True,True,,,
983,97149,597,False,True,,,
983,127298,597,True,True,,,
994,26102,1509,False,True,,,
1008,124597,492,False,True,,,
1012,98584,651,False,True,,,
1032,197578,246,False,True,,,
1037,227058,585,True,True,,,
1092,244257,1080,True,True,,,
1106,247975,462,True,True,,,
1108,232421,1251,True,True,,,
1117,69240,786,False,True,,,
1126,233752,702,True,True,,,
1138,215711,216,False,True,,,
1141,128208,462,False,True,,,
1144,131042,546,True,True,,,
1159,165271,330,False,True,,,
1160,81002,699,False,True,,,
1161,98192,675,True,True,,,
1163,114851,3414,True,True,,,
1193,205724,228,False,True,,,
1204,165314,720,True,True,,,
1208,18289,1737,False,True,,,
1226,225835,279,True,True,,,
1233,64038,834,False,True,,,
1279,102839,1461,True,True,,,
1290,232185,204,True,True,,,
1301,64032,759,False,True,,,
1320,244298,1128,True,True,,,
1325,240145,1374,True,True,,,
1333,243830,978,True,True,,,
1337,226419,222,True,True,,,
1338,253188,315,True,True,,,
1340,143612,1293,True,True,,,
1343,48806,1053,False,True,,,
1363,59787,951,False,True,,,
1391,145529,1293,True,True,,,
1392,95597,606,False,True,,,
1408,200282,594,True,True,,,
1420,199193,1425,True,True,,,
1462,220611,2400,True,True,,,
1481,79954,729,False,True,,,
1491,27047,1452,False,True,,,
1519,177371,294,False,True,,,
1519,180659,294,False,True,,,
1524,107726,648,True,True,,,
1526,80888,699,False,True,,,
1538,212518,213,False,True,,,
1552,79486,948,True,True,,,
1558,139191,423,False,True,,,
1559,43344,1071,False,True,,,
1576,104010,561,False,True,,,
1579,215745,2427,True,True,,,
1596,230067,945,True,True,,,
1598,68280,723,False,True,,,
1618,225706,216,True,True,,,
1643,47254,1098,False,True,,,
1650,53203,1026,False,True,,,
1656,136876,1257,True,True,,,
1685,203061,1272,True,True,,,
1693,35100,1290,False,True,,,
1694,186280,294,False,True,,,
1706,175794,300,False,True,,,
1713,248756,108,False,True,,,
1736,102901,1344,True,True,,,
1747,87293,654,False,True,,,
1748,29207,1308,False,True,,,
1749,92984,621,False,True,,,
1753,61059,1956,True,True,,,
1753,196125,1956,True,True,,,
1756,189317,1857,True,True,,,
1770,231350,885,True,True,,,
1786,217877,183,False,True,,,
1789,170192,333,False,True,,,
1800,168527,1365,True,True,,,
1802,67782,1557,True,True,,,
1834,211122,657,True,True,,,
1874,61025,861,False,True,,,
1899,108031,549,False,True,,,
1906,248551,987,True,True,,,
1939,212842,228,False,True,,,
1939,248086,228,True,True,,,
1942,19683,1695,False,True,,,
1986,248042,948,True,True,,,
1997,7445,2457,False,True,,,
2015,111872,543,False,True,,,
2017,171413,915,True,True,,,
2042,179176,1428,True,True,,,
2067,58013,894,False,True,,,
2067,59997,894,False,True,,,
2073,26435,1371,False,True,,,
2074,23842,1437,False,True,,,
2079,108061,549,False,True,,,
2083,209717,489,True,True,,,
2100,76711,1248,True,True,,,
2103,29598,1416,False,True,,,
2129,68980,789,False,True,,,
2133,182719,1035,True,True,,,
2134,8098,2481,False,True,,,
2158,251777,933,True,True,,,
2184,243612,1089,True,True,,,
2196,26708,1467,False,True,,,
2202,71454,1095,True,True,,,
2209,184357,285,False,True,,,
2225,86613,663,False,True,,,
2229,68416,864,False,True,,,
2233,123590,495,False,True,,,
2234,231928,165,False,True,,,
2234,232470,165,False,True,,,
2258,211899,723,True,True,,,
2264,151296,1077,True,True,,,
2271,68130,1290,True,True,,,
2310,112579,939,True,True,,,
2325,112805,894,True,True,,,
2345,89926,2007,True,True,,,
2366,223252,171,False,True,,,
2391,38950,1248,False,True,,,
2421,116828,510,False,True,,,
2422,71487,852,False,True,,,
2438,178923,1053,True,True,,,
2441,50933,888,False,True,,,
2451,242310,804,True,True,,,
2455,11233,2280,False,True,,,
2467,118881,2016,True,True,,,
2479,233984,627,True,True,,,
2486,137931,516,True,True,,,
2486,170622,516,True,True,,,
2490,115734,1377,True,True,,,
2503,161356,2313,True,True,,,
2561,226538,588,True,True,,,
2585,132105,1161,True,True,,,
2586,218107,1122,True,True,,,
2597,68275,867,False,True,,,
2616,144014,408,False,True,,,
2635,17510,1767,False,True,,,
2653,35627,1269,False,True,,,
2654,26382,1449,False,True,,,
2654,25681,1449,False,True,,,
2721,127355,462,False,True,,,
2731,89365,657,False,True,,,
2733,194304,909,True,True,,,
2733,237214,909,True,True,,,
2753,236292,153,False,True,,,
2755,180459,1713,True,True,,,
2769,105822,603,False,True,,,
2771,242691,1149,True,True,,,
2830,48892,1080,False,True,,,
2837,135753,1581,True,True,,,
2865,88414,693,False,True,,,
2882,163883,1626,True,True,,,
2889,28756,1401,False,True,,,
2890,34388,1317,False,True,,,
2899,220185,711,True,True,,,
2932,109632,579,False,True,,,
2957,86292,951,True,True,,,
2975,190719,2136,True,True,,,
2980,120132,1677,True,True,,,
2982,12189,2028,False,True,,,
2994,159205,978,True,True,,,
2999,33499,1224,False,True,,,
2999,173034,1224,True,True,,,
3005,1118,4563,False,True,,,
3010,237277,1053,True,True,,,
3012,81093,825,True,True,,,
3017,52487,1173,True,True,,,
3054,243682,1017,True,True,,,
3057,120767,483,False,True,,,
3065,98520,660,True,True,,,
3087,85197,669,False,True,,,
3099,20569,1665,False,True,,,
3107,153693,369,False,True,,,
3116,14716,1842,False,True,,,
3119,72163,765,False,True,,,
3131,142926,417,False,True,,,
3153,178104,897,True,True,,,
3165,164634,345,False,True,,,
3176,136015,474,False,True,,,
3183,250660,477,True,True,,,
3185,113942,792,True,True,,,
3199,69065,879,True,True,,,
3200,48232,1008,False,True,,,
3208,144480,402,False,True,,,
3270,136873,1068,True,True,,,
3300,107145,882,True,True,,,
3302,177288,297,False,True,,,
3306,241845,1158,True,True,,,
3308,213864,222,False,True,,,
3347,146916,393,False,True,,,
3349,109947,540,False,True,,,
3351,152721,372,False,True,,,
3362,171577,312,False,True,,,
3372,126488,588,True,True,,,
3378,220573,195,False,True,,,
3380,36004,1185,False,True,,,
3389,214086,219,False,True,,,
3390,108545,591,False,True,,,
3403,204925,603,True,True,,,
3405,102198,573,False,True,,,
3412,52962,1086,True,True,,,
3415,240168,879,True,True,,,
3424,35003,1287,False,True,,,
3449,201418,576,True,True,,,
3457,236155,759,True,True,,,
3469,173234,753,True,True,,,
3475,241034,2187,True,True,,,
3509,92108,627,False,True,,,
3525,185655,282,False,True,,,
3534,222968,1194,True,True,,,
3544,243601,426,True,True,,,
3550,32578,1338,False,True,,,
3560,90160,1158,True,True,,,
3585,248169,192,True,True,,,
3607,86558,660,False,True,,,
3608,57508,975,False,True,,,
3615,55949,912,False,True,,,
3615,69398,912,True,True,,,
3617,131274,996,True,True,,,
3641,23136,1629,True,True,,,
3644,116067,1845,True,True,,,
3653,155721,363,False,True,,,
3657,70626,777,False,True,,,
3661,134112,1020,True,True,,,
3706,87594,1710,True,True,,,
3777,18843,1617,False,True,,,
3793,114478,471,False,True,,,
3793,136615,471,False,True,,,
3808,51029,891,False,True,,,
3826,42954,1545,True,True,,,
3844,112403,1080,True,True,,,
3856,35507,1182,False,True,,,
3874,60152,870,False,True,,,
3879,134468,801,True,True,,,
3891,123479,906,True,True,,,
3903,58679,975,False,True,,,
3907,24166,1428,False,True,,,
3915,125432,489,False,True,,,
3915,122072,489,False,True,,,
3929,166209,528,True,True,,,
3934,28100,1431,False,True,,,
3995,133965,441,False,True,,,
3995,172587,441,True,True,,,
3995,249412,441,True,True,,,
4000,244169,1509,True,True,,,
4013,39243,1161,False,True,,,
4035,57008,1152,True,True,,,
4065,137840,429,False,True,,,
4080,246047,672,True,True,,,
4087,29600,1290,False,True,,,
4102,234440,450,True,True,,,
4112,144039,873,True,True,,,
4112,165147,873,True,True,,,
