Label	Type	Frame	Begin	End	Mutation	Gene	Product	Score	COGs	COGclassID	ClassDescription	COGprocess
EFER_0001	CDS	+1	205	2667	no	thrA	fused aspartokinase I ; homoserine dehydrogenase I	460	COG0460,COG0527	E	Amino acid transport and metabolism	METABOLISM
EFER_0002	CDS	+2	2669	3598	no	thrB	homoserine kinase	309	COG0083	E	Amino acid transport and metabolism	METABOLISM
EFER_0003	CDS	+2	3602	4888	no	thrC	threonine synthase	428	COG0498	E	Amino acid transport and metabolism	METABOLISM
EFER_0005	CDS	-2	5437	6210	no	yaaA	conserved hypothetical protein; family UPF0246	257	COG3022	S	Function unknown	POORLY CHARACTERIZED
EFER_0006	CDS	-2	6280	7827	no	yaaJ	putative amino acid sodium/proton transporter	479	COG1115	E	Amino acid transport and metabolism	METABOLISM
EFER_0007	CDS	+1	7987	8940	no	talB	transaldolase B	317	COG0176	G	Carbohydrate transport and metabolism	METABOLISM
EFER_0008	CDS	+1	9055	9642	no	mogA	molybdochelatase MogA, involved in Moco biosynthesis	195	COG0521	H	Coenzyme transport and metabolism	METABOLISM
EFER_0009	CDS	-2	9676	10242	no	yaaH	conserved hypothetical protein; putative membrane protein	183	COG1584	S	Function unknown	POORLY CHARACTERIZED
EFER_0010	CDS	+1	10750	12666	no	dnaK	chaperone Hsp70, co-chaperone with DnaJ	638	COG0443	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
EFER_0011	CDS	+2	12755	13885	no	dnaJ	chaperone Hsp40, co-chaperone with DnaK	376	COG0484	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
EFER_0013	CDS	+3	14682	15848	no	nhaA	sodium-proton antiporter	382	COG3004	P	Inorganic ion transport and metabolism	METABOLISM
EFER_0014	CDS	+1	15886	16815	no	nhaR	DNA-binding transcriptional activator	304	COG0583	K	Transcription	INFORMATION STORAGE AND PROCESSING
EFER_0015	CDS	-3	16911	17174	no	rpsT	30S ribosomal subunit protein S20	87	COG0268	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
EFER_0017	CDS	+1	17503	18444	no	ribF	bifunctional riboflavin kinase and FAD synthetase	313	COG0196	H	Coenzyme transport and metabolism	METABOLISM
EFER_0018	CDS	+1	18487	21303	no	ileS	isoleucyl-tRNA synthetase	938	COG0060	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
EFER_0020	CDS	+3	21303	21797	no	lspA	prolipoprotein signal peptidase (signal peptidase II)	164	COG0597	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
EFER_0020	CDS	+3	21303	21797	no	lspA	prolipoprotein signal peptidase (signal peptidase II)	164	COG0597	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
EFER_0021	CDS	+2	21905	22354	no	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	148	COG1047	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
EFER_0022	CDS	+3	22356	23306	no	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	316	COG0761	I	Lipid transport and metabolism	METABOLISM
EFER_0022	CDS	+3	22356	23306	no	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	316	COG0761	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
EFER_0023	CDS	+2	23372	24286	no	rihC	ribonucleoside hydrolase 3	304	COG1957	F	Nucleotide transport and metabolism	METABOLISM
EFER_0024	CDS	+1	24304	24669	no		conserved hypothetical protein; putative membrane protein	105	COG3152	S	Function unknown	POORLY CHARACTERIZED
EFER_0026	CDS	-2	24715	25398	no	citB	DNA-binding response regulator in two-component regulatory system with citA	224	COG4565	K	Transcription	INFORMATION STORAGE AND PROCESSING
EFER_0026	CDS	-2	24715	25398	no	citB	DNA-binding response regulator in two-component regulatory system with citA	224	COG4565	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
EFER_0027	CDS	-1	25391	27019	no	citA	sensory histidine kinase in two-component regulatory system with citB	525	COG3290	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
EFER_0028	CDS	-3	27162	28463	no	oadB	Oxalacetate decarboxylase beta chain	433	COG1883	C	Energy production and conversion	METABOLISM
EFER_0029	CDS	-3	28476	30257	no	oadA	Oxaloacetate decarboxylase alpha chain	480	COG1038,COG5016	C	Energy production and conversion	METABOLISM
EFER_0030	CDS	-3	30273	30521	no	oadG	Oxaloacetate decarboxylase gamma chain	82	COG3630	C	Energy production and conversion	METABOLISM
EFER_0031	CDS	-3	30672	32012	no	citP	Citrate-sodium symporter (Citrate transporter) (Citrate carrier protein)	433	COG3493	C	Energy production and conversion	METABOLISM
EFER_0032	CDS	+1	32272	33282	no	citC	citrate lyase synthetase	313	COG3053	C	Energy production and conversion	METABOLISM
EFER_0033	CDS	+3	33312	33605	no	citD	citrate lyase, acyl carrier (gamma) subunit	97	COG3052	C	Energy production and conversion	METABOLISM
EFER_0034	CDS	+2	33527	34471	no	citE	citrate lyase, citryl-ACP lyase (beta) subunit	289	COG2301	G	Carbohydrate transport and metabolism	METABOLISM
EFER_0035	CDS	+2	34484	36004	no	citF	citrate lyase, citrate-ACP transferase (alpha) subunit	489	COG3051	C	Energy production and conversion	METABOLISM
EFER_0036	CDS	+1	36004	36555	no	citX	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	174	COG3697	H	Coenzyme transport and metabolism	METABOLISM
EFER_0036	CDS	+1	36004	36555	no	citX	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	174	COG3697	I	Lipid transport and metabolism	METABOLISM
EFER_0037	CDS	+2	36533	37444	no	citG	triphosphoribosyl-dephospho-CoA transferase	282	COG1767	H	Coenzyme transport and metabolism	METABOLISM
EFER_0038	CDS	+1	37603	38424	no	dapB	dihydrodipicolinate reductase	273	COG0289	E	Amino acid transport and metabolism	METABOLISM
EFER_0040	CDS	+2	38879	40027	no	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	381	COG0505	E	Amino acid transport and metabolism	METABOLISM
EFER_0040	CDS	+2	38879	40027	no	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	381	COG0505	F	Nucleotide transport and metabolism	METABOLISM
EFER_0041	CDS	+1	40045	43266	no	carB	carbamoyl-phosphate synthase large subunit	1073	COG0458	E	Amino acid transport and metabolism	METABOLISM
EFER_0041	CDS	+1	40045	43266	no	carB	carbamoyl-phosphate synthase large subunit	1073	COG0458	F	Nucleotide transport and metabolism	METABOLISM
EFER_0043	CDS	-2	44008	44598	no	caiE	putative acyl transferase	172	COG0663	R	General function prediction only	POORLY CHARACTERIZED
EFER_0044	CDS	-3	44604	45446	no	caiD	crotonobetainyl CoA hydratase	264	COG1024	I	Lipid transport and metabolism	METABOLISM
EFER_0045	CDS	-2	45499	47067	no	caiC	putative crotonobetaine CoA ligase:carnitine CoA ligase	511	COG0318	I	Lipid transport and metabolism	METABOLISM
EFER_0045	CDS	-2	45499	47067	no	caiC	putative crotonobetaine CoA ligase:carnitine CoA ligase	511	COG0318	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
EFER_0046	CDS	-2	47125	48342	no	caiB	crotonobetainyl CoA:carnitine CoA transferase	401	COG1804	C	Energy production and conversion	METABOLISM
EFER_0047	CDS	-1	48413	49555	no	caiA	crotonobetaine reductase subunit II, FAD-binding	380	COG1960	I	Lipid transport and metabolism	METABOLISM
EFER_0048	CDS	-1	49586	51100	no	caiT	L-carnitine/gamma-butyrobetaine antiporter	502	COG1292	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
EFER_0049	CDS	+3	51573	52343	no	fixA	putative electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	253	COG2086	C	Energy production and conversion	METABOLISM
EFER_0050	CDS	+2	52358	53299	no	fixB	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	307	COG2025	C	Energy production and conversion	METABOLISM
EFER_0051	CDS	+1	53350	54636	no	fixC	putative oxidoreductase with FAD/NAD(P)-binding domain	428	COG0644	C	Energy production and conversion	METABOLISM
EFER_0052	CDS	+3	54633	54920	no	fixX	putative 4Fe-4S ferredoxin	91	COG2440	C	Energy production and conversion	METABOLISM
EFER_0053	CDS	+1	54979	56310	no	yaaU	putative transporter	443	COG0477	E	Amino acid transport and metabolism	METABOLISM
EFER_0053	CDS	+1	54979	56310	no	yaaU	putative transporter	443	COG0477	G	Carbohydrate transport and metabolism	METABOLISM
EFER_0053	CDS	+1	54979	56310	no	yaaU	putative transporter	443	COG0477	P	Inorganic ion transport and metabolism	METABOLISM
EFER_0053	CDS	+1	54979	56310	no	yaaU	putative transporter	443	COG0477	R	General function prediction only	POORLY CHARACTERIZED
EFER_0054	CDS	+3	56418	56948	no	kefF	glutathione-regulated potassium-efflux system ancillary protein KefF	175	COG2249	R	General function prediction only	POORLY CHARACTERIZED
EFER_0055	CDS	+1	56941	58803	no	kefC	potassium:proton antiporter	398	COG1226,COG0475	P	Inorganic ion transport and metabolism	METABOLISM
EFER_0056	CDS	+1	58996	59475	no	folA	dihydrofolate reductase	159	COG0262	H	Coenzyme transport and metabolism	METABOLISM
EFER_0060	CDS	-2	60901	61749	no	apaH	diadenosine tetraphosphatase	282	COG0639	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
EFER_0061	CDS	-2	61756	62133	no	apaG	protein associated with Co2+ and Mg2+ efflux	124	COG2967	P	Inorganic ion transport and metabolism	METABOLISM
EFER_0062	CDS	-3	62136	62957	no	ksgA	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	273	COG0030	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
EFER_0063	CDS	-1	62954	63943	no	pdxA	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	328	COG1995	H	Coenzyme transport and metabolism	METABOLISM
EFER_0064	CDS	-2	63943	65229	no	surA	peptidyl-prolyl cis-trans isomerase (PPIase)	428	COG0760	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
EFER_0065	CDS	-3	65283	67634	no	imp	exported protein required for envelope biosynthesis and integrity	781	COG1452	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
EFER_0066	CDS	+2	67889	68704	no	djlA	DnaJ-like protein, membrane anchored	271	COG1076	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
EFER_0067	CDS	-3	68775	69434	no	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	219	COG0564	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
EFER_0068	CDS	-1	69446	72352	no	hepA	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	968	COG0553	K	Transcription	INFORMATION STORAGE AND PROCESSING
EFER_0068	CDS	-1	69446	72352	no	hepA	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	968	COG0553	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
EFER_0069	CDS	-3	72516	74867	no	polB	DNA polymerase II	779	COG0417	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
EFER_0070	CDS	-1	74942	75637	no	araD	L-ribulose-5-phosphate 4-epimerase	231	COG0235	G	Carbohydrate transport and metabolism	METABOLISM
EFER_0071	CDS	-1	75740	77242	no	araA	L-arabinose isomerase	494	COG2160	G	Carbohydrate transport and metabolism	METABOLISM
EFER_0072	CDS	-3	77253	78953	no	araB	L-ribulokinase	541	COG1069	C	Energy production and conversion	METABOLISM
EFER_0073	CDS	+1	79291	80136	no	araC	DNA-binding transcriptional dual regulator	239	COG2207	K	Transcription	INFORMATION STORAGE AND PROCESSING
EFER_0074	CDS	+3	80358	81590	no		Putative transcriptional regulator of sugar metabolism	307	COG0524,COG1349	G	Carbohydrate transport and metabolism	METABOLISM
EFER_0074	CDS	+3	80358	81590	no		Putative transcriptional regulator of sugar metabolism	97	COG1349	K	Transcription	INFORMATION STORAGE AND PROCESSING
EFER_0075	CDS	+1	81616	82539	no		putative dihydrodipicolinate synthetase (DHDPS)	251	COG0329	E	Amino acid transport and metabolism	METABOLISM
EFER_0075	CDS	+1	81616	82539	no		putative dihydrodipicolinate synthetase (DHDPS)	251	COG0329	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
EFER_0076	CDS	+1	82594	83547	no		putative periplasmic binding protein	314	COG3181	S	Function unknown	POORLY CHARACTERIZED
EFER_0078	CDS	+1	84043	85530	no		putative membrane protein	490	COG3333	S	Function unknown	POORLY CHARACTERIZED
EFER_0079	CDS	+1	85714	86478	no	yabI	conserved hypothetical protein; putative membrane protein	205	COG0586	S	Function unknown	POORLY CHARACTERIZED
EFER_0079	CDS	+1	85714	86478	no	yabI	conserved hypothetical protein; putative membrane protein	43	COG4214	G	Carbohydrate transport and metabolism	METABOLISM
EFER_0080	CDS	-3	86559	87257	no	thiQ	thiamin transporter subunit ; ATP-binding component of ABC superfamily	224	COG3840	H	Coenzyme transport and metabolism	METABOLISM
EFER_0081	CDS	-2	87241	88851	no	thiP	fused thiamin transporter subunits of ABC superfamily: membrane components	530	COG1178	P	Inorganic ion transport and metabolism	METABOLISM
