Label	Type	Frame	Begin	End	Mutation	Gene	Product	Score	COGs	COGclassID	ClassDescription	COGprocess
ECK0002	CDS	+1	337	2799	no	thrA	fused aspartokinase I ; homoserine dehydrogenase I	460	COG0460,COG0527	E	Amino acid transport and metabolism	METABOLISM
ECK0003	CDS	+2	2801	3733	no	thrB	homoserine kinase	309	COG0083	E	Amino acid transport and metabolism	METABOLISM
ECK0004	CDS	+2	3734	5020	no	thrC	threonine synthase	428	COG0498	E	Amino acid transport and metabolism	METABOLISM
ECK0006	CDS	-2	5683	6459	no	yaaA	conserved hypothetical protein; family UPF0246	258	COG3022	S	Function unknown	POORLY CHARACTERIZED
ECK0007	CDS	-2	6529	7959	no	yaaJ	putative amino acid sodium/proton transporter	476	COG1115	E	Amino acid transport and metabolism	METABOLISM
ECK0008	CDS	+3	8238	9191	no	talB	transaldolase B	317	COG0176	G	Carbohydrate transport and metabolism	METABOLISM
ECK0009	CDS	+3	9306	9893	no	mogA	molybdochelatase MogA, involved in Moco biosynthesis	195	COG0521	H	Coenzyme transport and metabolism	METABOLISM
ECK0010	CDS	-2	9928	10494	no	yaaH	conserved hypothetical protein; putative inner membrane protein associated with acetate transport	183	COG1584	S	Function unknown	POORLY CHARACTERIZED
ECK0011	CDS	-1	10643	11356	no	htpY	heat shock protein	115	COG4735	S	Function unknown	POORLY CHARACTERIZED
ECK0014	CDS	+1	12163	14079	no	dnaK	chaperone Hsp70, co-chaperone with DnaJ	638	COG0443	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
ECK0015	CDS	+2	14168	15298	no	dnaJ	chaperone Hsp40, co-chaperone with DnaK	376	COG0484	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
ECK0016-1	CDS	+1	15445	16557	no	insL	IS186/IS421 transposase	106	COG3385	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
ECK0020	CDS	+2	17489	18655	no	nhaA	sodium-proton antiporter	384	COG3004	P	Inorganic ion transport and metabolism	METABOLISM
ECK0021	CDS	+1	18715	19620	no	nhaR	DNA-binding transcriptional activator	280	COG0583	K	Transcription	INFORMATION STORAGE AND PROCESSING
ECK0022-1	CDS	-1	19811	20314	no	insB	IS1 transposase InsAB'	115	COG1662	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
ECK0023-1	CDS	-2	20233	20508	no	insA	IS1 repressor protein InsA	84	COG3677	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
ECK0024	CDS	-2	20815	21078	no	rpsT	30S ribosomal subunit protein S20	87	COG0268	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
ECK0026	CDS	+2	21407	22348	no	ribF	bifunctional riboflavin kinase and FAD synthetase	313	COG0196	H	Coenzyme transport and metabolism	METABOLISM
ECK0027	CDS	+2	22391	25207	no	ileS	isoleucyl-tRNA synthetase	938	COG0060	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
ECK0028	CDS	+1	25207	25701	no	lspA	prolipoprotein signal peptidase (signal peptidase II)	164	COG0597	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0028	CDS	+1	25207	25701	no	lspA	prolipoprotein signal peptidase (signal peptidase II)	164	COG0597	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
ECK0029	CDS	+2	25826	26275	no	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	148	COG1047	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
ECK0030	CDS	+3	26277	27227	no	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	316	COG0761	I	Lipid transport and metabolism	METABOLISM
ECK0030	CDS	+3	26277	27227	no	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	316	COG0761	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0031	CDS	+2	27293	28207	no	rihC	ribonucleoside hydrolase 3	304	COG1957	F	Nucleotide transport and metabolism	METABOLISM
ECK0032	CDS	+3	28374	29195	no	dapB	dihydrodipicolinate reductase	273	COG0289	E	Amino acid transport and metabolism	METABOLISM
ECK0033	CDS	+2	29651	30799	no	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	381	COG0505	E	Amino acid transport and metabolism	METABOLISM
ECK0033	CDS	+2	29651	30799	no	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	381	COG0505	F	Nucleotide transport and metabolism	METABOLISM
ECK0034	CDS	+1	30817	34038	no	carB	carbamoyl-phosphate synthase large subunit	1073	COG0458	E	Amino acid transport and metabolism	METABOLISM
ECK0034	CDS	+1	30817	34038	no	carB	carbamoyl-phosphate synthase large subunit	1073	COG0458	F	Nucleotide transport and metabolism	METABOLISM
ECK0036	CDS	-1	34781	35371	no	caiE	putative acyl transferase	175	COG0663	R	General function prediction only	POORLY CHARACTERIZED
ECK0037	CDS	-2	35377	36270	no	caiD	crotonobetainyl CoA hydratase	264	COG1024	I	Lipid transport and metabolism	METABOLISM
ECK0038	CDS	-2	36271	37839	no	caiC	putative crotonobetaine CoA ligase:carnitine CoA ligase	511	COG0318	I	Lipid transport and metabolism	METABOLISM
ECK0038	CDS	-2	36271	37839	no	caiC	putative crotonobetaine CoA ligase:carnitine CoA ligase	511	COG0318	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
ECK0039	CDS	-1	37898	39115	no	caiB	crotonobetainyl CoA:carnitine CoA transferase	401	COG1804	C	Energy production and conversion	METABOLISM
ECK0040	CDS	-2	39244	40386	no	caiA	crotonobetaine reductase subunit II, FAD-binding	380	COG1960	I	Lipid transport and metabolism	METABOLISM
ECK0041	CDS	-2	40417	41931	no	caiT	L-carnitine/gamma-butyrobetaine antiporter	503	COG1292	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0042	CDS	+1	42403	43173	no	fixA	putative electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	256	COG2086	C	Energy production and conversion	METABOLISM
ECK0043	CDS	+3	43188	44129	no	fixB	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	307	COG2025	C	Energy production and conversion	METABOLISM
ECK0044	CDS	+2	44180	45466	no	fixC	putative oxidoreductase with FAD/NAD(P)-binding domain	428	COG0644	C	Energy production and conversion	METABOLISM
ECK0045	CDS	+1	45463	45750	no	fixX	putative 4Fe-4S ferredoxin	91	COG2440	C	Energy production and conversion	METABOLISM
ECK0046	CDS	+3	45807	47138	no	yaaU	putative transporter	443	COG0477	E	Amino acid transport and metabolism	METABOLISM
ECK0046	CDS	+3	45807	47138	no	yaaU	putative transporter	443	COG0477	G	Carbohydrate transport and metabolism	METABOLISM
ECK0046	CDS	+3	45807	47138	no	yaaU	putative transporter	443	COG0477	P	Inorganic ion transport and metabolism	METABOLISM
ECK0046	CDS	+3	45807	47138	no	yaaU	putative transporter	443	COG0477	R	General function prediction only	POORLY CHARACTERIZED
ECK0047	CDS	+2	47246	47776	no	kefF	glutathione-regulated potassium-efflux system ancillary protein KefF	175	COG2249	R	General function prediction only	POORLY CHARACTERIZED
ECK0048	CDS	+3	47769	49631	no	kefC	potassium:proton antiporter	398	COG1226,COG0475	P	Inorganic ion transport and metabolism	METABOLISM
ECK0049	CDS	+2	49823	50302	no	folA	dihydrofolate reductase	159	COG0262	H	Coenzyme transport and metabolism	METABOLISM
ECK0050	CDS	-2	50380	51222	no	apaH	diadenosine tetraphosphatase	280	COG0639	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
ECK0051	CDS	-2	51229	51606	no	apaG	protein associated with Co2+ and Mg2+ efflux	124	COG2967	P	Inorganic ion transport and metabolism	METABOLISM
ECK0052	CDS	-3	51609	52430	no	ksgA	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	273	COG0030	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
ECK0053	CDS	-1	52427	53416	no	pdxA	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	328	COG1995	H	Coenzyme transport and metabolism	METABOLISM
