Cluster,Cluster length,Gene name,Annotation,Gene length,Global similarity,Fragment,Local similarity,Start gap,End gap,Good alignment,Alignment length
91,9492,,lcl|CU651637.1_gene_1970 [locus_tag=LF82_301] [location=2023074..2032565] [gbkey=Gene],9492,0.9966287399915719,False,0.9966287399915719,False,False,False,28799
265,7038,,lcl|CU651637.1_gene_1970 [locus_tag=LF82_301] [location=2023074..2032565] [gbkey=Gene],9492,0.7379898862199747,True,0.9940400170285227,True,False,True,9019
284,1911,,lcl|CU651637.1_gene_1970 [locus_tag=LF82_301] [location=2023074..2032565] [gbkey=Gene],9492,0.2002739148756848,True,0.9205811138014528,False,True,False,12772
285,396,,lcl|CU651637.1_gene_1386 [locus_tag=LF82_222] [location=1434894..1442474] [gbkey=Gene],7581,0.05065294815987337,True,0.9672544080604534,True,True,False,17871
312,8052,,lcl|CU651637.1_gene_2491 [locus_tag=LF82_374] [location=complement(2607471..2615522)] [gbkey=Gene],8052,0.9967709885742673,False,0.9967709885742673,False,False,True,8225
378,7581,,lcl|CU651637.1_gene_1386 [locus_tag=LF82_222] [location=1434894..1442474] [gbkey=Gene],7581,1.0,False,1.0,False,False,True,11412
380,7434,,lcl|CU651637.1_gene_1386 [locus_tag=LF82_222] [location=1434894..1442474] [gbkey=Gene],7581,0.9348370927318296,False,0.9348370927318296,False,False,True,13623
382,7434,,lcl|CU651637.1_gene_1386 [locus_tag=LF82_222] [location=1434894..1442474] [gbkey=Gene],7581,0.9339311618093104,False,0.9339311618093104,False,False,True,10167
407,1206,,lcl|CU651637.1_gene_2491 [locus_tag=LF82_374] [location=complement(2607471..2615522)] [gbkey=Gene],8052,0.14965226030799803,True,0.9991708126036484,False,True,True,7245
425,4920,,lcl|CU651637.1_gene_1386 [locus_tag=LF82_222] [location=1434894..1442474] [gbkey=Gene],7581,0.630787495053423,True,0.9171461449942463,True,False,True,8022
481,3789,yehH,lcl|CU651637.1_gene_2140 [gene=yehH] [locus_tag=LF82_2993] [location=2215105..2218893] [gbkey=Gene],3789,0.9960411718131433,False,0.9960411718131433,False,False,False,6476
505,3078,mdtC,lcl|CU651637.1_gene_2102 [gene=mdtC] [locus_tag=LF82_1294] [location=2173676..2176753] [gbkey=Gene],3078,0.9392462638076673,False,0.9392462638076673,False,False,False,12832
514,6108,,lcl|CU651637.1_gene_1969 [locus_tag=LF82_300] [location=2016861..2022986] [gbkey=Gene],6126,0.9934704538034607,False,0.9963981663392273,True,False,False,6562
521,1650,yfaQ,lcl|CU651637.1_gene_2253 [gene=yfaQ] [locus_tag=LF82_3038] [location=complement(2342510..2344159)] [gbkey=Gene],1650,0.9551515151515152,False,0.9551515151515152,False,False,False,18230
